clip_id,track_id,path,label,split,start_sec,duration_sec
blues__blues.00096__seg00,blues/blues.00096,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00096__seg00.wav,blues,train,0.00,5.00
blues__blues.00096__seg01,blues/blues.00096,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00096__seg01.wav,blues,train,5.00,5.00
blues__blues.00096__seg02,blues/blues.00096,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00096__seg02.wav,blues,train,10.00,5.00
blues__blues.00096__seg03,blues/blues.00096,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00096__seg03.wav,blues,train,15.00,5.00
blues__blues.00096__seg04,blues/blues.00096,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00096__seg04.wav,blues,train,20.00,5.00
blues__blues.00096__seg05,blues/blues.00096,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00096__seg05.wav,blues,train,25.00,5.00
blues__blues.00096__seg06,blues/blues.00096,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00096__seg06.wav,blues,train,30.00,5.00
blues__blues.00065__seg00,blues/blues.00065,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00065__seg00.wav,blues,train,0.00,5.00
blues__blues.00065__seg01,blues/blues.00065,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00065__seg01.wav,blues,train,5.00,5.00
blues__blues.00065__seg02,blues/blues.00065,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00065__seg02.wav,blues,train,10.00,5.00
blues__blues.00065__seg03,blues/blues.00065,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00065__seg03.wav,blues,train,15.00,5.00
blues__blues.00065__seg04,blues/blues.00065,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00065__seg04.wav,blues,train,20.00,5.00
blues__blues.00065__seg05,blues/blues.00065,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00065__seg05.wav,blues,train,25.00,5.00
blues__blues.00065__seg06,blues/blues.00065,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/blues/blues__blues.00065__seg06.wav,blues,train,30.00,5.00
classical__classical.00081__seg00,classical/classical.00081,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00081__seg00.wav,classical,train,0.00,5.00
classical__classical.00081__seg01,classical/classical.00081,/Users/samuelturner/Documents/mert-music-retrieval/data/interim/gtzan_5s/train/classical/classical__classical.00081__seg01.wav,classical,train,5.00,5.00
