date,hours,activities,roadblocks
2026-04-16,5.0,"Project setup/exploration/research; reviewed https://arxiv.org/pdf/2208.12415 and https://arxiv.org/pdf/1803.06841; focused reading on https://arxiv.org/pdf/2402.13763 and MERT (https://arxiv.org/abs/2306.00107); studied SSL learning principles and data2vec/word2vec embedding concepts; preprocessing update: built decode audit, verified 999/1000 decode success, added resampling+amplitude normalization, generated 5s clip manifests/summaries", 
2026-04-17,2.0,"Phase 3 Block 1 lock-in: finalized docs/phase3_protocol.md with fixed splits_5s manifest paths/counts, leakage checks (0 overlap), evaluation rules (all test queries, test-only candidate pool, self-clip exclusion), tie-break and checkpoint policy; Block 2 kickoff: added protocol enforcement + recall evaluation helpers in scripts/baseline_retrieval_run.py, implemented MFCC feature extraction (20 MFCC, mean+std -> 40D, L2 norm) with scipy-based audio pipeline and sanity-tested on test clips","None" 
2026-04-18,,, 
2026-04-19,,, 
2026-04-20,,, 
2026-04-21,,, 
2026-04-22,,, 
2026-04-23,,, 
2026-04-24,,, 
2026-04-25,,, 
2026-04-26,,, 
2026-04-27,,, 
2026-04-28,,, 
2026-04-29,,, 
2026-04-30,,, 
